Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode,log_price
2001,Acura,CL 3.2 Type S,USED,62382,6995.0,Automatic,Black,Other,FWD,89107,8.852950887099581
1991,Acura,Legend L,USED,108584,3450.0,Automatic,White,Beige,FWD,99115,8.146129510025405
2018,Acura,MDX Sport Hybrid 3.0L w/Technology Package,ACURA CERTIFIED,13551,37795.0,Automatic,Black,Black,AWD,75207,10.539932097726277
1991,Acura,NSX,USED,59562,50000.0,Manual,Red,Black,RWD,11101,10.819778284410283
2001,Acura,CL 3.2 Type S,USED,62382,6995.0,Automatic,Black,Other,FWD,11101,8.852950887099581
1991,Acura,NSX,USED,85064,49491.0,Manual,Black,Black,RWD,66203,10.809546113844034
2016,Acura,RLX Advance Package,USED,19729,20979.0,Automatic,White,Gray,FWD,99115,9.951277216371977
2007,Acura,RL,USED,74157,6995.0,Automatic,Blue,Beige,AWD,92521,8.852950887099581
1994,Acura,Integra LS,USED,154342,2990.0,Manual,Black,Beige,FWD,11101,8.003028666384733
2014,Acura,ILX 2.0L,USED,61968,9000.0,Automatic,White,Black,FWD,99115,9.104979856318357
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,40328,36788.0,Automatic,Gray,Gray,AWD,92521,10.512926984022588
2012,Acura,TSX 2.4,USED,85125,5900.0,Automatic,Red,Gray,FWD,99115,8.68270762989381
2007,Acura,RL,USED,74157,6995.0,Automatic,Blue,Beige,AWD,89107,8.852950887099581
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,11751,39500.0,Automatic,Black,Black,AWD,75207,10.584055950889214
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,40328,36788.0,Automatic,Gray,Gray,AWD,75207,10.512926984022588
2011,Acura,RL Technology,USED,163000,6800.0,Automatic,Black,Gray,AWD,89107,8.824677891164198
2017,Acura,ILX,USED,19998,12995.0,Automatic,Black,Black,FWD,11101,9.47231994707559
2010,Acura,ZDX,USED,81262,15499.0,Automatic,Silver,Black,AWD,99115,9.648530784697051
1991,Acura,NSX,USED,85064,49491.0,Manual,Black,Black,RWD,75207,10.809546113844034
2019,Acura,RDX Base,USED,6161,25969.0,Automatic,Gray,Black,AWD,92521,10.164658797946995
2017,Acura,MDX Sport Hybrid 3.0L w/Advance Package,USED,11751,39100.0,Automatic,Black,Black,AWD,89107,10.573877745973457
1991,Acura,Legend L,USED,108584,3450.0,Automatic,White,Beige,FWD,92521,8.146129510025405
2019,Acura,RDX Base,USED,6161,25969.0,Automatic,Gray,Black,AWD,99115,10.164658797946995
2003,Acura,RL 3.5,USED,85492,6597.0,Automatic,Other,Other,FWD,89107,8.794370279222871
