Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode
2008,Pontiac,G8 GT,USED,0,13995,Automatic,White,Black,RWD,92521
2012,Ford,Fusion SEL,USED,76000,5700,Automatic,Blue,Black,FWD,92521
2015,Jaguar,XJ Base,USED,37722,17995,Automatic,Black,Black,RWD,92521
2006,Bentley,Continental Flying Spur,USED,55230,26995,Automatic,Blue,Beige,AWD,92521
2019,Dodge,Grand Caravan GT,USED,31586,15995,Automatic,Gray,Other,FWD,92521
2019,Ford,Transit Connect XLT w/Rear Liftgate,USED,0,22950,Automatic,Silver,Black,FWD,92521
2004,Chevrolet,Malibu Maxx LS,USED,47930,2995,Automatic,White,Gray,FWD,92521
2019,Lamborghini,Urus Base,USED,8001,216985,Automatic,Gray,Other,AWD,92521
2017,Ford,Focus RS Base,USED,63475,23491,Manual,Gray,Black,AWD,92521
2017,Nissan,NV Passenger NV3500 HD SL V8,USED,54500,22995,Automatic,Black,Gray,RWD,92521
2017,Ford,Shelby GT350 Base,USED,13831,38799,Manual,Gray,Black,RWD,92521
2010,Mazda,CX-7 s Grand Touring,USED,109832,4999,Automatic,Black,Black,FWD,92521
2006,Pontiac,Grand Prix Base,USED,0,999,Automatic,Red,Black,FWD,92521
2006,Dodge,Magnum Base,USED,0,999,Automatic,Silver,Gray,RWD,92521
2007,Mercedes-Benz,R 350 4MATIC,USED,95500,7904,Automatic,Blue,Gray,AWD,92521
2008,Mercury,Grand Marquis LS,USED,57750,7000,Automatic,Blue,Beige,RWD,92521
2019,Chevrolet,Blazer 3LT,USED,0,33398,Automatic,Gray,Black,AWD,92521
2000,Chrysler,Sebring JXi,USED,90000,1500,Automatic,Red,Black,FWD,92521
2019,BMW,330i,NEW,0,45385,Automatic,Gray,Beige,RWD,92521
2000,Toyota,Celica GT,USED,70117,5994,Manual,Silver,Gray,FWD,92521
2019,BMW,330i,NEW,0,47125,Automatic,Black,Black,RWD,92521
2018,Lexus,LC 500 Base,USED,17212,67667,Automatic,White,Red,RWD,92521
2006,Pontiac,Solstice,USED,31622,6900,Manual,Red,Black,RWD,92521
