Year,Brand,Model,Title,Mile,Price,Transmition,EXT_COLOR,INT_COLOR,Derivtrain,zipcode
2020,Chevrolet,Trax LS,NEW,0,18258,Automatic,White,Black,FWD,92521
2000,Buick,Century Custom,USED,133869,2995,Automatic,Beige,Beige,FWD,92521
2017,Audi,RS 7 4.0T Prestige,USED,59425,49990,Automatic,Black,Black,AWD,92521
2013,Ford,Sedan Police Interceptor Base,USED,127000,6995,Automatic,White,Black,AWD,92521
2020,Chevrolet,Spark 2LT,NEW,0,16923,CVT,White,Black,FWD,92521
2017,Genesis,G90 5.0 Ultimate,USED,28858,39988,Automatic,Brown,Beige,AWD,92521
2008,Volkswagen,Touareg 2 V6,USED,111526,7295,Automatic,Gray,Gray,AWD,92521
2013,INFINITI,QX56 Base,USED,86727,18998,Automatic,Black,Gray,RWD,92521
2018,Chevrolet,Traverse LT Cloth,USED,14150,23999,Automatic,Red,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19106,Automatic,Silver,Black,FWD,92521
2006,Pontiac,Solstice,USED,12075,9500,Manual,Blue,Beige,RWD,92521
2017,Cadillac,ATS PERFORMANCE,USED,12805,21389,Automatic,Gray,Black,RWD,92521
2019,Honda,CR-V LX,USED,0,18389,CVT,White,White,FWD,92521
2016,Nissan,Versa 1.6 S+,USED,21126,6990,CVT,Blue,Gray,FWD,92521
2018,FIAT,124 Spider Classica,USED,1618,15075,Manual,Gray,Black,RWD,92521
2020,Lexus,NX 300h Base,NEW,0,45202,CVT,Silver,Black,AWD,92521
2015,Ford,Taurus SHO,USED,38039,14995,Automatic,White,Black,AWD,92521
2018,Subaru,Impreza 2.0i Sport,USED,6608,16199,CVT,Red,Black,AWD,92521
2012,Honda,Pilot EX-L,USED,0,7658,Automatic,Gray,Gray,4x4/4-wheel drive,92521
2018,Ford,Fiesta ST,USED,12157,13500,Manual,Orange,Black,FWD,92521
2017,Nissan,Rogue S,USED,11125,13999,CVT,Black,Black,AWD,92521
2019,FIAT,500 Pop,NEW,0,15629,Automatic,Gray,Black,FWD,92521
2019,Lincoln,Continental Standard,USED,1337,24589,Automatic,Other,Black,FWD,92521
2019,Chevrolet,Spark 1LT,NEW,0,16090,CVT,Blue,Black,FWD,92521
2020,Nissan,Versa S,NEW,0,16127,CVT,Gray,Gray,FWD,92521
2019,BMW,X7 xDrive40i,USED,4400,74995,Automatic,Black,Beige,AWD,92521
2010,Saturn,Outlook XR-L Premium,USED,83200,9590,Automatic,Red,Beige,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,15590,CVT,Orange,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15590,CVT,Orange,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15590,CVT,Blue,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15195,CVT,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15270,CVT,Silver,Black,FWD,92521
2012,GMC,Terrain SLT-1,USED,80518,9977,Automatic,Beige,Black,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,12315,CVT,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12315,CVT,Beige,Black,FWD,92521
2012,Honda,Ridgeline Sport,USED,27321,14500,Automatic,White,Gray,4x4/4-wheel drive,92521
2013,Dodge,Journey SXT,USED,135510,5390,Automatic,Silver,Black,AWD,92521
2017,Kia,Optima EX,USED,21470,12950,Automatic,Gray,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17470,Automatic,Gray,Black,FWD,92521
2019,Chevrolet,Blazer 1LT,USED,0,22850,Automatic,Black,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18651,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18651,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18180,Automatic,Gray,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18180,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18180,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18860,Automatic,Gray,Black,FWD,92521
2014,Cadillac,ATS 2.0L Turbo Luxury,USED,50850,11999,Automatic,Black,Other,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,10915,CVT,Gray,Black,FWD,92521
2020,Buick,Encore Sport Touring,NEW,0,21525,Automatic,Blue,Black,FWD,92521
2017,Chevrolet,Cruze LT,USED,25659,7995,Automatic,Brown,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,20077,Automatic,White,Other,AWD,92521
2016,Mercedes-Benz,AMG GT AMG GT S,USED,0,65997,Automatic,Black,Other,RWD,92521
2006,Jeep,Commander Base,USED,101674,8900,Automatic,Black,Gray,RWD,92521
2013,Audi,TT RS 2.5,USED,69206,29477,Manual,Black,Black,AWD,92521
2020,Chevrolet,Trax LS,NEW,0,18491,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17021,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19788,Automatic,White,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19080,Automatic,Black,Black,FWD,92521
2015,Ford,Focus SE,USED,36235,9495,Automatic,Silver,Black,FWD,92521
2013,Mitsubishi,Outlander Sport SE,USED,35718,8900,CVT,Black,Other,FWD,92521
2020,Chevrolet,Malibu RS,NEW,0,20822,CVT,White,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18895,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14894,CVT,Beige,Black,FWD,92521
1993,Toyota,Supra,USED,0,27999,Manual,Gray,Other,4x2/2-wheel drive,92521
2020,Chevrolet,Spark LS,NEW,0,12473,Manual,Red,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12473,Manual,Red,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12473,Manual,Red,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,13841,CVT,Orange,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12473,Manual,Red,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,16664,CVT,Orange,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,16664,CVT,Blue,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,16198,CVT,White,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,16277,CVT,Red,Black,FWD,92521
2008,Bentley,Continental Flying Spur,USED,73962,38990,Automatic,Other,Blue,AWD,92521
2020,Ford,EcoSport SES,NEW,0,20572,Automatic,White,Black,4x4/4-wheel drive,92521
2020,Chevrolet,Trax LS,NEW,0,18330,Automatic,Gray,Other,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12144,CVT,Black,Black,FWD,92521
2020,Chevrolet,Trax LT,NEW,0,21947,Automatic,Red,Black,FWD,92521
2016,Lincoln,MKC Premier,USED,25919,18300,Automatic,Other,Black,FWD,92521
2009,MINI,Cooper S,USED,126220,4991,Other / Unknown,Yellow,Black,FWD,92521
2017,Ford,Transit-150 T-150 130 LOW ROOF XL SWING-OUT RH DR,USED,17200,19995,Automatic,White,Gray,RWD,92521
2020,Nissan,Versa S,NEW,0,15149,Manual,Gray,Gray,FWD,92521
2020,Nissan,Versa S,NEW,0,13879,Manual,Gray,Gray,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15590,CVT,Orange,Other,FWD,92521
2015,Ford,Transit Connect XLT,USED,31000,8995,Automatic,White,Gray,FWD,92521
2014,BMW,428 i xDrive,USED,39080,7795,Automatic,Black,Black,AWD,92521
2019,Nissan,NV Passenger NV3500 HD SL V8,USED,5107,36851,Automatic,Red,Beige,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,12888,Manual,Orange,Black,FWD,92521
2013,Hyundai,Veloster Turbo,USED,45962,8495,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,13657,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12876,CVT,Gray,Black,FWD,92521
2013,Kia,Optima LX,USED,89395,5874,Automatic,Black,Gray,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10990,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10990,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10990,Automatic,Red,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10990,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10990,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10990,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,11519,CVT,White,Black,FWD,92521
2005,Dodge,Magnum R/T,USED,93000,5995,Automatic,Silver,Gray,RWD,92521
2018,Lexus,LS 500,USED,57215,47995,Automatic,Gray,Black,RWD,92521
2019,Kia,Optima S,USED,0,16495,Automatic,White,Black,FWD,92521
2003,Toyota,Camry Solara SE,USED,109608,3995,Automatic,Silver,Black,FWD,92521
2019,Chevrolet,Trax LT,NEW,0,20190,Automatic,Red,Black,AWD,92521
2020,Chevrolet,Trax LS,NEW,0,16915,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14012,CVT,Orange,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,16330,CVT,Red,Other,FWD,92521
2013,Nissan,Quest SV,USED,84839,9888,CVT,Beige,Beige,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19630,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15415,CVT,White,Black,FWD,92521
2019,Chevrolet,Trax Premier,NEW,0,25698,Automatic,Black,Black,AWD,92521
2016,Nissan,Sentra S,USED,74218,6499,CVT,Gray,Gray,FWD,92521
2019,Chevrolet,Trax LS,USED,4926,10990,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17591,Automatic,White,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17591,Automatic,White,Black,FWD,92521
2019,RAM,1500 Classic Tradesman,NEW,0,35066,Automatic,White,Black,4x4/4-wheel drive,92521
2019,Hyundai,Sonata Hybrid Limited,NEW,0,28521,Automatic,Other,Gray,FWD,92521
2011,Nissan,Leaf SL,USED,52100,4499,Automatic,White,Gray,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,13678,CVT,Red,Black,FWD,92521
2017,Audi,S7 4.0T Premium Plus,USED,20125,53900,Automatic,Gray,Black,AWD,92521
2018,Lincoln,Continental Reserve,USED,1035,30399,Automatic,Black,Red,AWD,92521
2013,Cadillac,XTS Platinum,USED,70001,14995,Automatic,Black,Black,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,14995,CVT,Beige,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,15000,CVT,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19166,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19761,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10995,CVT,White,Black,FWD,92521
2004,Chrysler,Crossfire,USED,44672,8991,Automatic,Black,Black,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,13496,CVT,White,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10995,CVT,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,13496,CVT,Silver,Black,FWD,92521
2009,Cadillac,STS V8,USED,132863,4488,Automatic,Purple,Other,RWD,92521
2020,MINI,Hardtop Cooper S,NEW,0,36130,Automatic,Blue,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19371,Automatic,Gray,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18545,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12257,CVT,Blue,Black,FWD,92521
2015,Cadillac,ATS 2.0L Turbo Luxury,USED,37042,14950,Automatic,Black,Black,AWD,92521
2020,Chevrolet,Spark 1LT,NEW,0,13917,CVT,Red,Other,FWD,92521
2014,Mitsubishi,Outlander SE,USED,0,10995,CVT,Black,Black,4x4/4-wheel drive,92521
2016,Nissan,Altima 2.5 S,USED,37511,11888,CVT,Black,Gray,FWD,92521
2018,Nissan,Murano SV,USED,43645,16995,CVT,White,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17921,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17921,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18115,Automatic,Gray,Black,FWD,92521
2018,Maserati,Ghibli GranLusso,USED,9712,23850,Automatic,Gray,Other,RWD,92521
2017,BMW,X3 sDrive28i,USED,39113,21914,Automatic,White,Black,RWD,92521
2015,Lexus,GS 350 Base,USED,41753,19500,Automatic,Gray,Black,AWD,92521
2016,Chevrolet,Impala 2LZ,USED,47773,14481,Automatic,White,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17528,Automatic,White,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14195,CVT,Beige,Other,FWD,92521
2020,Nissan,Versa S,NEW,0,16485,CVT,Black,Gray,FWD,92521
2020,Nissan,Versa S,NEW,0,16485,CVT,Silver,Gray,FWD,92521
2018,Chevrolet,Colorado ZR2,USED,13254,28900,Automatic,Black,Black,4x4/4-wheel drive,92521
2020,Chevrolet,Trax LS,NEW,0,18798,Automatic,White,Black,FWD,92521
2012,Chevrolet,Cruze LS,USED,35369,8200,Automatic,Black,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18753,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18753,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18424,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18776,Automatic,White,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17935,Automatic,White,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18700,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Trax LT,NEW,0,20154,Automatic,Silver,Black,AWD,92521
2010,Scion,xD,USED,54550,7600,Automatic,Blue,Other,FWD,92521
2017,Bentley,Bentayga W12,USED,0,Not Priced,Automatic,White,Black,AWD,92521
2015,Maserati,Quattroporte S Q4,USED,15164,33490,Automatic,Gray,Other,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,13800,CVT,Orange,Black,FWD,92521
2020,Nissan,Versa S,NEW,0,16127,CVT,Black,Gray,FWD,92521
1987,Chevrolet,Monte Carlo Luxury Sport,USED,99029,3900,Automatic,Other,Other,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,13561,CVT,Gray,Black,FWD,92521
1999,Ford,Escort LX,USED,243000,1500,Manual,Green,Other,FWD,92521
2015,Nissan,Sentra S,USED,53771,6498,CVT,Silver,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14195,CVT,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19345,Automatic,Silver,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19345,Automatic,Silver,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19345,Automatic,Gray,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19345,Automatic,Silver,Black,FWD,92521
2018,Nissan,Kicks S,USED,12500,13999,CVT,Silver,Gray,FWD,92521
2020,Ford,EcoSport SES,NEW,0,20572,Automatic,Black,Black,4x4/4-wheel drive,92521
2020,Chevrolet,Trax LS,NEW,0,19627,Automatic,Silver,Black,AWD,92521
2016,Buick,Envision Premium I,USED,9260,18995,Automatic,Gold,Other,AWD,92521
2014,Dodge,Dart SXT,USED,58878,7495,Automatic,Gray,Black,FWD,92521
2019,Chevrolet,Camaro 2SS,USED,2798,34993,Automatic,Black,Black,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,13301,CVT,Black,Black,FWD,92521
2016,Nissan,NV Passenger NV3500 HD SV V6/SV V8,USED,46620,24800,Automatic,Blue,Gray,RWD,92521
2020,Nissan,Versa S,NEW,0,16210,CVT,Gray,Gray,FWD,92521
2020,Hyundai,Palisade SEL,USED,0,33484,Automatic,Green,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,15195,CVT,Silver,Other,FWD,92521
2011,Toyota,Corolla LE,USED,77000,5000,Automatic,Silver,Gray,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12195,CVT,Red,Black,FWD,92521
2020,Chevrolet,Spark ACTIV,NEW,0,15590,CVT,Blue,Black,FWD,92521
2004,Ford,Thunderbird Deluxe,USED,74435,11488,Automatic,Silver,Other,RWD,92521
2018,Dodge,Journey SE,USED,11926,12995,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Spark 1LT,NEW,0,14143,CVT,Black,Black,FWD,92521
2007,Hummer,H3 Adventure,USED,0,12250,Automatic,Black,Black,4x4/4-wheel drive,92521
2005,Lotus,Elise,USED,32946,36994,Manual,Yellow,Black,RWD,92521
2015,Honda,Civic Hybrid,USED,51549,12373,CVT,Gray,Gray,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19714,Automatic,Gray,Black,FWD,92521
2011,Hyundai,Equus Signature,USED,113535,7992,Automatic,Gray,Black,RWD,92521
2003,Toyota,Celica GT,USED,151370,3695,Automatic,Silver,Black,FWD,92521
2016,Chrysler,200 S,USED,13200,19745,Automatic,Red,Other,AWD,92521
2005,Lexus,LS 430,USED,107261,4999,Automatic,Black,White,RWD,92521
2016,Mercedes-Benz,Metris Base,USED,0,18582,Automatic,Gray,Orange,RWD,92521
2019,Chevrolet,Trax LT,USED,0,12900,Automatic,Silver,Black,FWD,92521
2015,Chevrolet,Malibu 1LT,USED,13610,9490,Automatic,Beige,Beige,FWD,92521
2012,Nissan,Rogue S,USED,29202,5995,CVT,Gray,Black,AWD,92521
2020,Nissan,Versa S,NEW,0,14304,Manual,White,Gray,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14465,CVT,Beige,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14357,CVT,White,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,19060,Automatic,White,Black,FWD,92521
2005,Chevrolet,Astro,USED,87546,4995,Automatic,White,Beige,RWD,92521
2020,Chevrolet,Trax LT,NEW,0,21685,Automatic,White,Black,FWD,92521
2020,Chevrolet,Trax LT,NEW,0,21685,Automatic,White,Black,FWD,92521
2014,Nissan,Juke S,USED,55314,7990,CVT,White,Black,FWD,92521
2017,Chevrolet,Equinox LT,USED,34746,10990,Automatic,White,Black,FWD,92521
2017,Ford,Expedition EL Platinum,USED,30287,33789,Automatic,Black,Black,4x4/4-wheel drive,92521
2016,Hyundai,Sonata Limited,USED,28875,14000,Automatic,Gray,Gray,FWD,92521
2019,FIAT,500C Pop,NEW,0,18698,Automatic,Silver,Other,FWD,92521
2006,Bentley,Continental Flying Spur,USED,53400,31337,Automatic,Silver,Gray,AWD,92521
2013,BMW,650 Gran Coupe i xDrive,USED,21800,24998,Automatic,White,Black,AWD,92521
2019,Hyundai,Kona Ultimate,USED,7288,20199,Automatic,Silver,Black,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,14995,CVT,Red,Black,FWD,92521
2005,Ford,Explorer Sport Trac XLT,USED,97434,7197,Automatic,Blue,Other,4x4/4-wheel drive,92521
2016,Cadillac,ATS-V Base,USED,16529,37412,Automatic,Black,Black,RWD,92521
2014,Ford,Focus SE,USED,62515,8995,Other / Unknown,Gray,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12315,CVT,Red,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17552,Automatic,White,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10995,CVT,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17467,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17691,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17691,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17234,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17691,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17234,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17691,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17234,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17691,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17691,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17234,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10995,CVT,Silver,Black,FWD,92521
2019,Chevrolet,Spark LS,NEW,0,13695,CVT,Beige,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12464,CVT,Red,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18062,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18022,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18010,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18470,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17440,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,16972,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,16992,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,16972,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,17990,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18180,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18180,Automatic,Silver,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18499,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10619,CVT,Black,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10915,CVT,Red,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,11310,CVT,Blue,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10915,CVT,Beige,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,10915,CVT,Red,Black,FWD,92521
2014,Mercedes-Benz,GLK 350 4MATIC,USED,55149,13998,Automatic,Black,Beige,AWD,92521
2018,Ford,EcoSport Titanium,USED,1139,15888,Automatic,Black,Black,4x4/4-wheel drive,92521
2020,Chevrolet,Spark LS,NEW,0,11490,Manual,White,Black,FWD,92521
2008,Jeep,Liberty Limited,USED,118234,5996,Automatic,Red,Gray,4x4/4-wheel drive,92521
2019,Chevrolet,Spark 1LT,NEW,0,17160,CVT,Silver,Black,FWD,92521
2018,Volkswagen,Atlas 3.6L SEL,USED,24316,30485,Automatic,White,Beige,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,14998,Automatic,Silver,Black,FWD,92521
2009,Toyota,Highlander Hybrid Limited,USED,0,10922,CVT,White,Gray,AWD,92521
2020,Chevrolet,Spark 1LT,NEW,0,13598,CVT,Silver,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18699,Automatic,Black,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18424,Automatic,Black,Other,FWD,92521
2005,Hummer,H2,USED,0,12900,Automatic,Green,Black,4x4/4-wheel drive,92521
2004,Mazda,RX-8 Base,USED,36293,12232,Manual,Silver,Black,RWD,92521
2006,Mercury,Mountaineer Premier,USED,129290,8991,Automatic,Black,Black,AWD,92521
2020,Chevrolet,Spark LS,NEW,0,13794,CVT,Red,Black,FWD,92521
2010,Tesla,Roadster,USED,47422,49999,Automatic,Red,Black,RWD,92521
2020,Chevrolet,Trax LS,NEW,0,18790,Automatic,Gray,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,18414,Automatic,Gray,Black,FWD,92521
1998,BMW,Z3 2.8 Roadster,USED,48844,11999,Automatic,Silver,Black,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,13906,CVT,Blue,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,14841,Automatic,Orange,Black,FWD,92521
2013,Dodge,Dart SXT,USED,63891,7999,Automatic,Blue,Other,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,12556,CVT,Silver,Black,FWD,92521
2020,Chevrolet,Spark 1LT,NEW,0,15672,CVT,Beige,Black,FWD,92521
2012,Audi,A7 3.0T quattro Premium,USED,76782,16995,Automatic,Red,Brown,AWD,92521
2020,Chevrolet,Trax LS,NEW,0,19345,Automatic,Black,Gray,FWD,92521
2020,Ford,EcoSport Titanium,NEW,0,20887,Automatic,Black,Black,4x4/4-wheel drive,92521
2020,Ford,EcoSport Titanium,NEW,0,20887,Automatic,Blue,Black,4x4/4-wheel drive,92521
2020,Ford,EcoSport Titanium,NEW,0,20887,Automatic,Black,Black,4x4/4-wheel drive,92521
2018,Ford,EcoSport S,USED,58677,8995,Automatic,White,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,14057,Automatic,Black,Black,FWD,92521
2020,Hyundai,Palisade SEL,USED,0,38419,Automatic,Other,Black,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,13061,Automatic,White,Black,FWD,92521
2012,Dodge,Avenger SXT,USED,0,2999,Automatic,Black,Other,FWD,92521
2003,Nissan,350Z Enthusiast,USED,133023,6650,Manual,Black,Black,RWD,92521
2020,Chevrolet,Spark LS,NEW,0,13988,CVT,White,Black,FWD,92521
2020,Chevrolet,Spark LS,NEW,0,11194,CVT,White,Black,FWD,92521
2002,Lincoln,Town Car Cartier,USED,105759,3300,Automatic,Beige,Beige,RWD,92521
2020,GMC,Canyon SLE,NEW,0,31407,Automatic,Red,Black,RWD,92521
2017,Aston,Martin DB11,USED,0,117999,Automatic,Other,Other,RWD,92521
2017,Nissan,Altima 2.5 SV,USED,44213,6995,Automatic,Other,Other,FWD,92521
2020,Chevrolet,Trax LS,NEW,0,15788,Automatic,White,Black,FWD,92521
2017,Nissan,Armada Platinum,USED,54348,29995,Automatic,Silver,Gray,AWD,92521
2018,Buick,Encore Preferred II,USED,0,13900,Automatic,Black,Black,FWD,92521
2008,Aston,Martin V8 Vantage,USED,9600,54500,Automatic,Blue,Blue,RWD,92521
2007,Mazda,RX-8 Sport,USED,61370,7995,Manual,Silver,Black,RWD,92521
2020,Chevrolet,Spark 1LT,NEW,0,11997,CVT,Gray,Black,FWD,92521
2018,Audi,RS 3 2.5T,AUDI CERTIFIED,2600,52999,Automatic,Black,Black,AWD,92521
2019,Chevrolet,Express 2500 Work Van,NEW,0,25600,Automatic,Blue,Gray,RWD,92521
2020,Volvo,V60 Cross Country T5,NEW,0,48100,Automatic,Gray,Gray,AWD,92521
2012,Mazda,MazdaSpeed3 Touring,USED,34478,12999,Manual,White,Black,FWD,92521
1992,Honda,Prelude S,USED,160000,3800,Manual,Black,Black,FWD,92521
2017,Buick,Encore Preferred II,USED,19517,10990,Automatic,Red,Gray,FWD,92521
1978,Jeep,CJ-7,USED,79212,8500,Automatic,Black,Gray,Unknown,92521
2020,Nissan,Versa S,NEW,0,15127,CVT,Silver,Gray,FWD,92521
2012,Toyota,Highlander Limited,USED,62212,15500,Automatic,White,Beige,AWD,92521
2017,Jaguar,F-PACE 35t Premium,USED,25567,30000,Automatic,Gray,Black,AWD,92521
